"elevation_m","drainage_density_km_per_km2","storm_drain_proximity_m","historical_rainfall_intensity_mm_hr","return_period_years","land_use","soil_group","storm_drain_type"
90.8,6.08,2.8,55.8,25,"Residential","B","Manhole"
34.24,3.89,264.1,42.8,50,"Residential","A","OpenChannel"
20.15,6.92,173.1,21.8,10,"Green","C","Manhole"
55.51,8.08,20.2,60.7,10,"Commercial","C","CurbInlet"
-3,8.23,29.7,11.1,5,"Commercial","C","CurbInlet"
13.3,7.11,263.3,30.5,5,"Mixed","C","OpenChannel"
153.18,5.97,69.8,37.6,5,"Commercial","A","GratedInlet"
19.06,8.93,7.1,75.3,10,"Commercial","D","Manhole"
4.25,8.11,68.5,52.7,5,"Residential","","Manhole"
88.87,4.19,96.5,61.1,5,"Industrial","C","Manhole"
3.05,4.46,301.6,27.5,5,"Commercial","D","OpenChannel"
-3,8.05,31.4,74.6,10,"Roads","C","OpenChannel"
8.5,5.61,428.5,59.1,5,"Institutional","C","OpenChannel"
4.83,7.89,35.4,60.8,5,"Industrial","C","CurbInlet"
43.08,8.24,1.1,26.2,10,"Commercial","C","Manhole"
-3,7.33,113.2,39.7,5,"Commercial","","GratedInlet"
8.68,7.66,168.4,48.6,10,"Residential","D","CurbInlet"
6.21,7.6,18.9,114.3,25,"Commercial","B","Manhole"
15.9,5.35,64.9,28.4,100,"Commercial","B","GratedInlet"
17.51,3.09,97.1,55.3,2,"Residential","A","Manhole"
10.54,9.32,18.8,27.4,10,"Roads","D","GratedInlet"
85.39,4.49,236.8,44.8,2,"Commercial","","OpenChannel"
20.34,6.14,90.2,31.5,10,"Commercial","B","Manhole"
51.19,9.18,6.4,66.6,5,"Commercial","A","CurbInlet"
11.09,4.96,95.6,25.4,2,"Residential","D","CurbInlet"
5.1,10.31,76.2,22.8,5,"Roads","C","Manhole"
6.44,6.92,7.3,56.2,2,"Industrial","B","Manhole"
25.6,4.42,95.2,20.7,50,"Industrial","B","Manhole"
23.83,6.89,67.1,12.8,2,"Industrial","A","Manhole"
89.76,7.43,48.6,71.9,5,"Roads","A","CurbInlet"
56.08,7.91,114.2,14.8,50,"Residential","D","OpenChannel"
57.29,4.33,82.4,27.9,5,"Roads","","OpenChannel"
-3,8.58,51.5,37.6,2,"Commercial","D","Manhole"
77.8,10.38,124.8,49.1,5,"Roads","C","Manhole"
49.8,2.56,38.1,16.7,2,"Residential","B","None"
64.94,10.06,259.5,19.5,5,"Roads","","OpenChannel"
0.07,3.43,20.8,33.5,2,"Residential","C","None"
113.21,8.24,81.9,31.5,100,"Industrial","D","Manhole"
36.63,8.43,23.4,6.8,10,"Roads","C","CurbInlet"
86.6,3.27,395.8,41.1,10,"Residential","D","OpenChannel"
21.39,4.08,447.1,40.8,5,"Roads","C","None"
27.84,9.42,463.5,56.9,25,"Informal","D","None"
78.32,5.49,27.5,57.6,10,"Green","","CurbInlet"
35.69,4.59,38.1,35.2,2,"Residential","C","CurbInlet"
56.03,6.48,360.6,46.7,5,"Commercial","B","OpenChannel"
-0.36,4.47,462.7,55.1,50,"Green","D","OpenChannel"
17.3,3.35,231.3,45.1,5,"Residential","","OpenChannel"
7.9,9.1,161.2,55.5,5,"Commercial","C","OpenChannel"
-3,3.97,126.3,88.8,25,"Industrial","D","CurbInlet"
61.1,4.11,283.8,40.1,2,"Residential","B","OpenChannel"
12.5,5.33,79,22.3,10,"Residential","A","Manhole"
-3,8.47,38.4,50.3,50,"Residential","","GratedInlet"
58.9,7.87,146,30.1,2,"Roads","A","OpenChannel"
13.19,4.02,88.5,72.3,10,"Residential","D","Manhole"
38.12,4.86,87.2,18.8,10,"Industrial","B","CurbInlet"
14.7,4.34,301.4,20.6,10,"Water","C","GratedInlet"
4.96,7.08,205,40.3,25,"Industrial","A","None"
60.3,3.95,186.7,57.5,25,"Residential","C","GratedInlet"
-3,6.74,147.5,27.4,2,"Water","A","GratedInlet"
10.29,2.92,104.3,43.4,25,"Green","C","OpenChannel"
87.14,7.98,29.7,24.9,25,"Commercial","A","GratedInlet"
71.28,5.94,52.5,30.7,5,"Residential","","Manhole"
-3,9.55,40.1,96,2,"Commercial","D","GratedInlet"
-3,7.74,5.5,39.5,5,"Commercial","A","OpenChannel"
30.33,7.8,46.1,36.5,25,"Residential","D","CurbInlet"
22.95,5.71,164.6,26.4,50,"Residential","D","None"
30.07,5.5,61.8,18.6,25,"Industrial","B","GratedInlet"
9.81,4.9,30.4,28.7,5,"Commercial","B","GratedInlet"
69.8,4.37,68.1,28.8,5,"Commercial","B","OpenChannel"
79.74,7.27,57.4,11.8,10,"Residential","D","GratedInlet"
8.05,3.98,12.7,74,100,"Roads","B","Manhole"
120.63,9.66,60.4,50,2,"Roads","C","GratedInlet"
88.37,2.99,138.1,40.6,5,"Residential","","Manhole"
-3,4.87,85.9,21.6,25,"Roads","D","Manhole"
40.23,5.58,199.5,13.1,10,"Mixed","","OpenChannel"
59.62,4.5,39.8,21.6,2,"Residential","B","Manhole"
51.92,4.94,94.5,138.4,10,"Roads","A","CurbInlet"
16.51,3.27,221.3,17.2,2,"Green","A","CurbInlet"
9.35,7.13,31.3,113.1,10,"Residential","B","Manhole"
11.11,5.46,102.2,27.8,2,"Commercial","","GratedInlet"
11.47,4.34,39.1,61.7,25,"Residential","C","OpenChannel"
86.31,6.37,183.8,55.5,10,"Water","D","CurbInlet"
63.6,3.21,179.6,36,10,"Residential","C","Manhole"
74.7,6.73,71.1,17,5,"Roads","C","Manhole"
-3,5.41,40.5,46.8,10,"Roads","B","CurbInlet"
-3,8.51,62.5,70.3,50,"Roads","C","GratedInlet"
9.57,4.86,69.2,44.7,50,"Residential","B","Manhole"
-2.8,4.08,141.6,41.5,25,"Residential","D","Manhole"
41.3,3.01,184.3,37.1,50,"Institutional","B","CurbInlet"
25.71,4.98,16.5,25.6,10,"Industrial","A","OpenChannel"
75.53,7.97,138.1,56.3,5,"Commercial","B","CurbInlet"
-3,6.41,111,33.9,5,"Residential","A","Manhole"
10.16,10.15,89.1,55.2,10,"Commercial","B","CurbInlet"
53.02,5.2,26.6,17.8,50,"Commercial","C","CurbInlet"
6.88,5.16,51.8,70.3,10,"Residential","B","GratedInlet"
0.56,8.26,365.9,69.3,50,"Commercial","","OpenChannel"
-0.06,5.57,276,21.5,10,"Green","D","Manhole"
42.01,4.78,107.5,50.2,10,"Green","D","CurbInlet"
152.65,8.46,63.1,12.8,5,"Residential","A","Manhole"
27.19,5.57,305.3,59.4,5,"Industrial","B","OpenChannel"
15.02,7.6,62.9,50.5,100,"Residential","","Manhole"
40.64,3.38,405.7,68.5,10,"Residential","C","OpenChannel"
9.2,9.14,217.9,35.1,5,"Commercial","A","OpenChannel"
253.88,9.79,530.4,34.3,2,"Industrial","C","None"
81.28,5.49,96.5,28.6,10,"Commercial","B","Manhole"
15.59,6.26,38.8,25.7,5,"Industrial","B","GratedInlet"
2.7,3.87,81.6,23.9,10,"Roads","C","CurbInlet"
59.62,7.18,110.3,24.3,5,"Roads","C","Manhole"
13.22,5.97,68.9,42.6,10,"Mixed","C","GratedInlet"
61.21,7.61,61,53.2,10,"Commercial","C","GratedInlet"
57.61,7.08,155.2,34.5,2,"Residential","D","CurbInlet"
119.77,5.78,59.6,41.6,2,"Residential","","Manhole"
78.02,4.74,79,19.3,2,"Residential","C","Manhole"
-3,6.93,15.3,40.6,5,"Commercial","C","CurbInlet"
-3,6.93,34.3,17.6,2,"Commercial","","GratedInlet"
69.81,8.98,67.8,35,2,"Commercial","B","CurbInlet"
19.71,5.38,121.4,17.5,5,"Green","B","CurbInlet"
195.41,3.28,117.9,20.2,10,"Residential","C","OpenChannel"
21.36,6.03,15.8,31.7,5,"Residential","B","Manhole"
106.5,6.95,37.9,24.6,5,"Roads","B","GratedInlet"
14.72,2.67,148.9,49.9,10,"Roads","D","CurbInlet"
-3,7.32,32.6,61.2,25,"Industrial","A","Manhole"
1.04,6.57,58.9,33.5,100,"Residential","D","Manhole"
11.2,6.54,103.1,86.4,25,"Roads","D","CurbInlet"
9.75,5.86,43.5,34.9,2,"Roads","C","Manhole"
10.42,7.73,35.8,64.9,2,"Roads","D","CurbInlet"
12.67,6.67,60.5,16.2,25,"Roads","C","Manhole"
33.56,3.75,43.6,24.5,5,"Industrial","A","CurbInlet"
-3,3.91,47.1,31.7,2,"Residential","C","GratedInlet"
96.37,4.04,62.4,25,5,"Residential","C","OpenChannel"
22.5,5.04,60.5,27.7,5,"Residential","B","CurbInlet"
19.84,6.36,146.5,41.6,10,"Water","D","Manhole"
64.4,6.23,275.4,55.7,10,"Residential","A","None"
16.18,9.14,16.9,29.2,2,"Mixed","C","CurbInlet"
1.38,6.64,37.9,85.9,25,"Residential","D","GratedInlet"
112.09,5.8,99.6,32,50,"Residential","C","CurbInlet"
18.93,8.49,37.1,74.4,25,"Residential","C","CurbInlet"
7.3,4.99,154.3,14.6,2,"Residential","C","CurbInlet"
47.84,6.79,87.4,73.5,100,"Residential","B","Manhole"
15.12,4.76,15.7,61,5,"Residential","D","Manhole"
6.29,8.96,32.3,52.6,50,"Industrial","B","Manhole"
6.02,7.68,32.2,32,2,"Industrial","","GratedInlet"
-3,5.99,128.4,17.4,25,"Residential","B","CurbInlet"
89.56,3.31,235.3,49.1,2,"Institutional","C","Manhole"
6.59,9.16,78.1,71.6,10,"Roads","A","CurbInlet"
9.04,8.49,27.4,35.1,5,"Residential","B","CurbInlet"
23.8,4.35,274.4,55.7,10,"Green","B","CurbInlet"
79.62,2.96,184.6,32.1,10,"Green","A","OpenChannel"
46.83,10.45,51.5,63.4,25,"Roads","D","Manhole"
51.85,7.32,36.9,29.1,5,"Roads","C","Manhole"
35.82,7.58,157.6,74.5,5,"Residential","D","CurbInlet"
72.82,7.08,75.6,26.5,2,"Commercial","C","Manhole"
9.86,10.19,60.5,87.8,50,"Roads","","GratedInlet"
10.72,7.99,163.6,27.6,2,"Residential","B","CurbInlet"
23.56,4.46,369.8,95.9,10,"Green","C","OpenChannel"
42.17,5.94,56.6,37.8,10,"Commercial","C","GratedInlet"
1.72,5.97,24.2,69.5,2,"Commercial","B","Manhole"
11.8,9.48,90.4,11.9,25,"Roads","C","Manhole"
12.75,2.28,29.2,20.9,100,"Green","A","CurbInlet"
64.18,6.38,65.8,29.4,5,"Roads","B","CurbInlet"
32.21,5.25,96.6,48.1,50,"Industrial","","CurbInlet"
92.67,6.52,213.5,36.3,2,"Informal","D","CurbInlet"
6.05,3.22,187.4,32.4,5,"Institutional","C","OpenChannel"
3.42,5.5,158.2,122.1,50,"Commercial","C","CurbInlet"
28.06,8.22,4,42.7,10,"Roads","A","CurbInlet"
7.61,5.68,52.4,150,50,"Commercial","B","Manhole"
-3,4.19,110.8,12,2,"Residential","B","GratedInlet"
86.77,8.36,63,20.4,2,"Mixed","D","Manhole"
243.51,8.1,57.7,17.1,100,"Roads","C","OpenChannel"
15.26,1.54,225,43.9,25,"Green","B","OpenChannel"
53.2,10.8,74.1,12.4,25,"Roads","A","Manhole"
2.42,7.53,72.9,62.7,50,"Residential","D","OpenChannel"
5.88,5.19,48.1,34.9,2,"Residential","C","Manhole"
11.88,8.3,67.8,22.7,5,"Commercial","A","Manhole"
-3,3.09,18.7,64.5,50,"Residential","","CurbInlet"
96.15,3.51,323.1,37.1,10,"Institutional","B","GratedInlet"
39.63,7.78,146.8,11.8,10,"Residential","D","None"
83.34,5.66,118.9,58.9,50,"Commercial","A","None"
-3,6.12,89.9,21.5,5,"Industrial","C","Manhole"
21.62,4.84,39,25.7,10,"Commercial","A","CurbInlet"
22.83,2.83,85.3,77.2,10,"Residential","B","GratedInlet"
-1.23,7.14,52.2,41.5,100,"Residential","D","CurbInlet"
7.11,6.83,79.1,69.7,10,"Commercial","D","Manhole"
48.21,4.75,59.4,15.1,5,"Green","A","Manhole"
-2.69,8.45,43.9,37,10,"Industrial","D","CurbInlet"
23.13,6.3,142.7,21.4,2,"Residential","D","CurbInlet"
78.19,5.1,1,15.2,2,"Roads","","GratedInlet"
61.03,4.13,392.1,65.5,5,"Roads","C","OpenChannel"
56.49,4.75,60.1,28.7,2,"Green","B","Manhole"
24.57,7.71,48.1,27.3,25,"Industrial","B","Manhole"
-3,7.42,81.9,20.7,10,"Commercial","B","Manhole"
8.88,3.31,136.4,150,100,"Commercial","C","Manhole"
12.4,3.53,49.3,34.7,2,"Roads","D","OpenChannel"
29.91,4.77,117.9,21.9,2,"Industrial","C","CurbInlet"
51.76,10.17,4.3,33.5,50,"Roads","B","CurbInlet"
82.5,2.38,38.4,40.3,5,"Residential","B","CurbInlet"
26.41,4.91,32.4,8.5,5,"Residential","B","CurbInlet"
14.44,8.6,150.7,29.7,2,"Residential","B","None"
0.53,3.14,274.6,32,25,"Green","B","Manhole"
14.6,8.47,67,90.3,5,"Commercial","C","Manhole"
47.02,5.89,48.6,16,5,"Commercial","","Manhole"
183.7,1.93,273.6,19.9,25,"Green","D","CurbInlet"
12.34,3.7,108.8,41.5,25,"Green","D","CurbInlet"
61.81,2.53,441.6,40.8,5,"Green","D","OpenChannel"
77.25,8.14,4.1,26.8,25,"Commercial","B","Manhole"
34.99,3.38,114.4,63,2,"Residential","A","CurbInlet"
-3,5.71,87.1,8.6,10,"Roads","B","Manhole"
23.13,6.43,57.2,26.3,2,"Green","D","GratedInlet"
-3,7.21,319.7,43.7,50,"Green","A","None"
70.97,7.61,330.6,47.6,5,"Roads","","OpenChannel"
21.15,6.3,129,35.9,100,"Institutional","A","GratedInlet"
153.91,7.75,439.6,74,25,"Industrial","C","OpenChannel"
73.01,5.23,101.5,48,25,"Residential","","Manhole"
19.02,7.47,185.8,30.3,2,"Roads","B","None"
57.12,3.66,49.5,21.1,25,"Residential","D","Manhole"
3.04,6.14,371.8,35.4,10,"Residential","C","None"
81.9,10.87,10.6,26.2,50,"Commercial","C","CurbInlet"
28.33,10.33,65.7,35.6,2,"Roads","B","GratedInlet"
45.01,11.51,61.9,73,50,"Industrial","D","OpenChannel"
2.39,8.09,20.6,47.1,50,"Residential","C","Manhole"
73.41,3.33,84.2,61.9,2,"Residential","B","CurbInlet"
14.78,8.67,109.6,55.8,25,"Informal","A","OpenChannel"
9.54,6.61,216,85.6,10,"Commercial","B","OpenChannel"
65.23,3.32,134.6,74.8,25,"Green","B","CurbInlet"
2.07,7.41,382.3,46.2,50,"Institutional","C","CurbInlet"
19.94,5.04,177.7,65.7,10,"Roads","A","OpenChannel"
10.95,7.49,155.9,39,5,"Commercial","C","CurbInlet"
88.93,8.44,31.7,26.9,50,"Mixed","","CurbInlet"
21.63,7.11,147.4,55.2,2,"Roads","A","OpenChannel"
13.08,8.59,96.5,19.2,10,"Commercial","D","Manhole"
-1.72,8.33,98.9,41.1,2,"Roads","A","CurbInlet"
33.15,5.77,185,15.5,100,"Residential","B","Manhole"
53.41,6.61,688.8,42.5,25,"Green","C","None"
3.91,9.57,33,104.2,5,"Roads","D","GratedInlet"
63.2,3.57,106.9,22.9,2,"Institutional","B","GratedInlet"
46.27,8.49,148.6,29.6,10,"Commercial","","GratedInlet"
79.22,6.99,154.5,33.3,5,"Residential","C","CurbInlet"
67.85,5.31,142.5,17.6,5,"Commercial","B","Manhole"
73.9,3.76,76.5,50.7,10,"Green","B","GratedInlet"
18.09,4.63,30,41.1,5,"Institutional","C","OpenChannel"
68.77,8.68,3.9,46.1,100,"Roads","A","CurbInlet"
101.21,4.93,111.4,26.3,2,"Roads","","Manhole"
20.51,8.35,75,58.3,25,"Commercial","D","Manhole"
86.53,6.34,149.1,49.4,50,"Industrial","B","OpenChannel"
199.87,4.02,185.8,15.1,5,"Residential","B","OpenChannel"
7.73,8.41,263.9,65.2,5,"Residential","B","OpenChannel"
-3,3.88,163.3,71.6,50,"Roads","","CurbInlet"
85.98,10.67,198.8,64.4,5,"Roads","","OpenChannel"
40.47,5.99,218.3,60.9,2,"Water","D","CurbInlet"
5.14,5.79,290.9,19.3,2,"Green","B","Manhole"
15.63,7.92,48.4,26.8,50,"Mixed","A","GratedInlet"
69.12,9.22,108.4,22,10,"Commercial","D","CurbInlet"
-3,6.88,172.3,51.2,2,"Green","A","Manhole"
112.91,6.66,131.9,20.3,25,"Roads","C","Manhole"
57.47,7.31,144.8,42.1,5,"Institutional","D","Manhole"
12.85,2.34,190.3,58.5,50,"Green","","OpenChannel"
1.49,2.01,220.4,86.9,25,"Green","","CurbInlet"
22.17,6.92,34.6,50.3,25,"Residential","A","OpenChannel"
-3,2.83,74.6,41.2,2,"Residential","B","Manhole"
3.7,6.15,52.9,93.3,5,"Roads","","OpenChannel"
12.78,6.43,37.5,49.8,2,"Residential","C","Manhole"
22.1,9.23,4.9,91.8,10,"Roads","","Manhole"
28.49,10.16,91.5,50.5,50,"Roads","","Manhole"
65.18,9.88,96.8,9.9,2,"Industrial","B","GratedInlet"
-0.54,10.43,287.2,60.2,2,"Industrial","B","OpenChannel"
22.64,1.74,176.1,65.3,5,"Green","B","GratedInlet"
12.56,9.53,117.6,23.1,100,"Industrial","A","GratedInlet"
40.81,5.46,70.9,50.3,5,"Industrial","A","GratedInlet"
19.91,6.27,136.6,26.6,10,"Commercial","C","GratedInlet"
14.83,7.66,55.4,27.7,100,"Informal","B","Manhole"
37.12,5.07,224.6,21.3,5,"Institutional","C","CurbInlet"
-3,2.5,71.6,100.1,50,"Residential","C","OpenChannel"
112.99,8.78,137.7,43.6,2,"Informal","C","CurbInlet"
39.68,4.94,52,32.3,5,"Residential","C","CurbInlet"
45.56,2.91,50.7,47.3,10,"Residential","A","OpenChannel"
5.62,5.69,316.4,55.8,50,"Green","B","GratedInlet"
23.35,4.94,37.6,78.9,50,"Commercial","D","CurbInlet"
-3,5.2,32.5,42.7,5,"Industrial","D","Manhole"
7.1,5.02,11.8,16.9,2,"Residential","","CurbInlet"
6.59,5.93,22.1,24.7,2,"Residential","B","CurbInlet"
110.22,5.67,200.2,43.5,5,"Roads","","CurbInlet"
27.9,7.97,17.1,34.4,10,"Industrial","A","CurbInlet"
16.67,4.42,69.7,31.8,10,"Institutional","B","GratedInlet"
64.94,5.91,453.5,52.1,5,"Roads","D","OpenChannel"
62.08,4.11,321.9,40.3,2,"Residential","B","OpenChannel"
3.39,7.55,296.3,132.7,100,"Institutional","","Manhole"
63.14,6.11,180.2,24.9,50,"Industrial","C","OpenChannel"
43.85,4.57,110.2,53.9,5,"Commercial","","CurbInlet"
49.76,8.83,79.5,37.4,2,"Roads","C","OpenChannel"
101.14,6.59,92.1,74,10,"Roads","D","OpenChannel"
11.32,4.47,132,49.7,10,"Green","D","Manhole"
3.63,6.45,1.6,79.3,25,"Commercial","C","OpenChannel"
15.67,8.54,49.5,41.4,5,"Industrial","B","Manhole"
23.22,3.12,375.5,39.3,2,"Green","D","CurbInlet"
47.8,6.11,21.4,46.6,5,"Residential","B","CurbInlet"
67.2,4.58,31.8,12.6,2,"Roads","D","GratedInlet"
59.53,5.38,69.7,49.6,50,"Residential","B","GratedInlet"
40.49,8.64,123.1,38.1,5,"Mixed","B","CurbInlet"
31.41,5.37,436,24.2,2,"Roads","C","OpenChannel"
49.75,2.25,413.5,34,10,"Green","A","OpenChannel"
11.79,4.25,262.4,24.1,2,"Water","","Manhole"
2.9,6.92,84.9,28.9,10,"Industrial","B","Manhole"
90.48,6.31,55.3,41.3,5,"Residential","A","GratedInlet"
107.47,4.64,33,14.9,25,"Commercial","D","CurbInlet"
109.67,9.31,120.4,20.7,2,"Industrial","A","GratedInlet"
59.14,2.07,2,35.7,25,"Residential","B","Manhole"
38.04,6.9,211.9,45.1,5,"Green","D","GratedInlet"
53.87,6.19,11,35.1,50,"Industrial","B","OpenChannel"
21.16,4.55,124,90.4,10,"Green","D","CurbInlet"
8.26,4.59,172.4,40.5,10,"Residential","B","CurbInlet"
16.14,6.46,312.2,11.6,2,"Residential","D","None"
34.8,1.76,257.7,67.7,25,"Green","","CurbInlet"
51.05,6.92,125,33.5,10,"Roads","C","CurbInlet"
75.43,8.05,3.2,18.8,5,"Residential","C","CurbInlet"
38.7,2.75,141.4,37.8,5,"Institutional","C","GratedInlet"
11.05,5.57,121,21.3,2,"Roads","C","OpenChannel"
76.81,2.56,227.9,27.7,5,"Green","D","CurbInlet"
0.6,10.63,112.2,32.7,5,"Industrial","A","CurbInlet"
-3,5.28,28.1,37,10,"Roads","B","Manhole"
29.79,6.37,78.2,105.3,100,"Green","D","OpenChannel"
25.71,9.35,164.9,30.6,50,"Industrial","A","OpenChannel"
3.21,5.29,26.8,15.5,10,"Industrial","D","CurbInlet"
9.15,5.02,31.6,95.9,25,"Commercial","A","Manhole"
165.1,10.45,98,18.1,10,"Roads","C","Manhole"
44.84,4.86,43.4,24.3,25,"Commercial","B","OpenChannel"
46.36,5.78,113.9,67.1,10,"Roads","A","Manhole"
21.76,4.71,73.6,104.7,50,"Residential","D","CurbInlet"
96.1,2.55,116.6,34.2,5,"Residential","B","CurbInlet"
19.29,5.39,102.9,45.5,50,"Mixed","C","CurbInlet"
43.22,5.25,217.8,17.2,2,"Institutional","C","OpenChannel"
29.64,5.97,279.8,50.9,25,"Green","C","None"
95.27,9.74,43.2,33.4,10,"Commercial","C","Manhole"
81.34,8.12,81.2,33.9,25,"Mixed","C","CurbInlet"
17.29,5.34,141,41.3,50,"Residential","D","Manhole"
28.41,6.75,100.2,122.8,100,"Residential","B","Manhole"
86.77,5.96,111.4,30.3,25,"Roads","B","Manhole"
103.7,2.59,383.9,21.2,25,"Green","C","Manhole"
40.17,6.3,25.3,37.5,25,"Residential","D","GratedInlet"
95.35,7.46,77.7,32.9,2,"Green","B","Manhole"
90.1,6.77,265.2,28.9,25,"Green","D","CurbInlet"
8.57,5.86,273.1,46.1,5,"Green","C","CurbInlet"
68.22,7.4,506.1,37.5,10,"Roads","C","None"
64.97,8.12,203.5,72.5,25,"Industrial","D","OpenChannel"
-3,9.61,28.9,14.5,10,"Roads","","CurbInlet"
107.72,5.02,51.2,15.6,10,"Mixed","C","CurbInlet"
-3,10.38,18.1,37.2,5,"Roads","A","CurbInlet"
-3,8.19,18.5,15.9,2,"Residential","D","CurbInlet"
55.03,6.88,87,31.8,5,"Residential","C","OpenChannel"
46.25,9.6,66,57,5,"Commercial","B","Manhole"
64.54,10.61,48.1,11,2,"Industrial","C","Manhole"
0.82,4.02,235.5,19.8,2,"Residential","C","OpenChannel"
12.78,7.69,263,33.5,10,"Green","A","Manhole"
16.95,7.2,4.8,35,25,"Industrial","B","CurbInlet"
-1.56,3.78,37.7,39.5,10,"Residential","C","Manhole"
72.08,6.13,59.6,25.2,10,"Roads","D","CurbInlet"
94.48,7.79,131.7,23.6,25,"Mixed","C","GratedInlet"
53.42,7.52,95.2,29,10,"Residential","A","None"
7.31,5.92,41.4,32.6,5,"Commercial","D","CurbInlet"
-3,6.98,18.8,28.4,5,"Roads","A","Manhole"
16.21,9.21,73.1,40.1,5,"Industrial","C","Manhole"
7.38,6.95,322.2,88,50,"Roads","C","OpenChannel"
18.85,6.94,2.2,48.2,5,"Commercial","D","GratedInlet"
71.11,8.03,70,27.1,100,"Residential","D","CurbInlet"
-3,6.01,77.4,43.9,25,"Commercial","","CurbInlet"
38.77,7.63,75.3,31.7,5,"Commercial","D","Manhole"
31.27,6.3,62.7,57.2,10,"Commercial","","Manhole"
24.75,5.6,120.7,35.5,50,"Roads","C","GratedInlet"
59.75,6.88,299.1,16.5,2,"Residential","D","None"
13.61,6.86,7.4,40.8,2,"Roads","C","Manhole"
-3,7.44,295.1,35.1,25,"Commercial","D","OpenChannel"
69.3,2.14,130.8,30.1,10,"Residential","B","GratedInlet"
17.98,7.5,120.9,99,25,"Industrial","A","CurbInlet"
37.56,4.68,58.4,12.3,25,"Roads","A","Manhole"
12.11,6.51,50,47.3,2,"Residential","","CurbInlet"
82.35,8.96,198,40.5,5,"Industrial","C","OpenChannel"
43.43,6.76,143.4,25.2,2,"Green","D","CurbInlet"
88.55,6.64,86.3,20.7,2,"Commercial","D","GratedInlet"
32.33,7.45,97.7,58.1,10,"Mixed","A","GratedInlet"
5.88,4.9,77.5,28.2,5,"Residential","A","Manhole"
-3,7.71,59.1,43.9,2,"Residential","","GratedInlet"
14.12,6.9,5.3,38.3,10,"Commercial","C","GratedInlet"
78.33,7.89,33.1,16.7,25,"Roads","A","CurbInlet"
266.7,5.02,169.3,61.4,10,"Industrial","A","OpenChannel"
16.94,11.06,14.9,31.3,2,"Mixed","D","CurbInlet"
101.2,4.67,226.5,36.3,100,"Green","D","OpenChannel"
2.8,5.27,12.5,66,25,"Commercial","D","CurbInlet"
15.33,8.46,7,49.9,10,"Mixed","B","GratedInlet"
-3,8.44,61.8,23.3,25,"Roads","C","CurbInlet"
16.49,6.25,113.9,71.1,25,"Roads","C","Manhole"
-3,5.72,32.9,31.6,50,"Roads","D","Manhole"
32.93,3.92,176.2,18.7,5,"Mixed","C","CurbInlet"
23.07,7.9,39.1,50.7,25,"Commercial","B","OpenChannel"
12.89,4.42,77.7,48,5,"Residential","B","CurbInlet"
53.17,5.61,112.8,43,50,"Commercial","D","None"
74.61,6.25,4.2,20.2,5,"Green","A","CurbInlet"
90.64,8.95,66.3,55,25,"Commercial","D","CurbInlet"
8.15,2.18,67.7,36.9,2,"Residential","A","Manhole"
136.1,3.93,133,30.8,5,"Roads","C","Manhole"
12.38,7.29,29.3,25.4,100,"Residential","B","CurbInlet"
92,4.26,131.7,27.5,5,"Green","D","CurbInlet"
72.66,7,26.3,75.3,25,"Roads","C","CurbInlet"
45.72,6.95,76,35.1,5,"Residential","","Manhole"
11.42,3.78,248.4,68.3,5,"Green","A","CurbInlet"
8.29,7.07,79.4,41.7,2,"Institutional","A","OpenChannel"
70.16,9.91,28.4,23,2,"Roads","B","GratedInlet"
10.36,5.24,30.4,73.4,25,"Industrial","B","CurbInlet"
171.95,5.95,136.6,32.2,25,"Roads","B","GratedInlet"
4.76,5.7,64.2,44.7,2,"Roads","","CurbInlet"
-3,10.15,78.6,83.7,25,"Commercial","C","GratedInlet"
4.51,7.16,33.5,49.1,5,"Commercial","B","Manhole"
7.29,5.02,27,42.3,50,"Industrial","C","CurbInlet"
23.04,5,157.2,75.6,50,"Water","C","GratedInlet"
7.61,2.59,282.3,39.1,2,"Green","B","OpenChannel"
19.34,2.75,45.1,68.8,2,"Residential","D","GratedInlet"
44.75,7.77,416.6,54.6,10,"Roads","B","OpenChannel"
11.8,8.49,76.1,36.2,5,"Mixed","D","GratedInlet"
32.91,8.06,450.2,26.5,10,"Roads","C","None"
60.27,8.49,60.5,23.9,100,"Roads","C","GratedInlet"
22.67,6.34,250.1,50.7,10,"Commercial","A","OpenChannel"
69.12,4.66,4,46.9,5,"Industrial","B","Manhole"
5.22,6.2,83.6,55.6,25,"Green","","CurbInlet"
78.99,2.75,195.6,45.8,25,"Green","C","Manhole"
50.4,6.03,23.1,53.1,25,"Water","C","GratedInlet"
-3,7.01,28.9,67.1,25,"Roads","D","CurbInlet"
206.74,5.75,84.1,34.1,2,"Roads","D","CurbInlet"
25.33,2.86,110.1,68,10,"Commercial","C","GratedInlet"
6.15,7.75,334.2,56.3,25,"Institutional","B","CurbInlet"
-3,10.01,127.7,30.8,5,"Industrial","D","Manhole"
-3,7.09,56.5,17.2,5,"Roads","C","CurbInlet"
38.4,5.95,74.6,46,5,"Roads","B","Manhole"
95.26,9.84,4.4,22.4,25,"Commercial","A","Manhole"
13.54,7.17,78.5,123.7,10,"Residential","B","GratedInlet"
66.53,5.92,291.4,36.8,2,"Water","C","GratedInlet"
48.49,6.07,37.8,17,2,"Green","D","Manhole"
140.27,5.66,119.7,20.4,2,"Roads","A","Manhole"
6.76,6.51,20,16.4,10,"Industrial","C","CurbInlet"
79.22,10.3,58.7,33.8,2,"Industrial","D","Manhole"
