"city_name","admin_ward","latitude","longitude","cluster","risk_level"
"Rotterdam, Netherlands","Sector 24",51.940462,4.526032,1,"Alto"
"New York, USA","District 22",40.674152,-74.078822,3,"Medio"
"Durban, South Africa","Sector 18",-29.845824,30.983056,3,"Medio"
"Shanghai, China","District 29",31.231464,121.511649,1,"Alto"
"Ho Chi Minh City, Vietnam","Sector 17",10.810168,106.74245,2,"Bajo"
"Lagos, Nigeria","Sector 10",6.543747,3.404901,2,"Bajo"
"Karachi, Pakistan","Zone VI",24.766211,66.949411,2,"Bajo"
"Hanoi, Vietnam","Zone VIII",20.912104,105.867921,2,"Bajo"
"Accra, Ghana","Sector 22",5.533865,-0.17985,3,"Medio"
"Pune, India","District 21",18.534222,73.866687,2,"Bajo"
"Rotterdam, Netherlands","Borough Riverside",51.881245,4.365565,1,"Alto"
"Lagos, Nigeria","District 15",6.508141,3.298996,1,"Alto"
"Rio de Janeiro, Brazil","Ward D",-22.904297,-43.189026,2,"Bajo"
"New York, USA","Sector 28",40.754127,-74.01989,2,"Bajo"
"Philadelphia, USA","Ward J",39.948152,-75.208126,3,"Medio"
"Rio de Janeiro, Brazil","Zone VIII",-22.836778,-43.136778,2,"Bajo"
"Barcelona, Spain","District 27",41.249273,2.106402,2,"Bajo"
"Rome, Italy","Ward J",41.90263,12.603663,3,"Medio"
"Sydney, Australia","Borough North",-33.781413,151.287487,2,"Bajo"
"Hamburg, Germany","District 11",53.572863,10.003167,1,"Alto"
"Montreal, Canada","Sector 19",45.404999,-73.668635,2,"Bajo"
"San Francisco, USA","Borough Old Town",37.74768,-122.4196,2,"Bajo"
"Sydney, Australia","Sector 25",-33.844943,151.206241,3,"Medio"
"Delhi, India","Zone IX",28.514671,77.269901,2,"Bajo"
"Miami, USA","District 9",25.678838,-80.202161,2,"Bajo"
"Durban, South Africa","Zone IX",-29.920951,30.815061,2,"Bajo"
"Bengaluru, India","Borough Hillside",12.951546,77.590592,2,"Bajo"
"Sao Paulo, Brazil","Sector 3",-23.568287,-46.594212,2,"Bajo"
"Seoul, South Korea","Zone V",37.556529,126.903643,3,"Medio"
"Copenhagen, Denmark","Borough Central",55.603629,12.561082,2,"Bajo"
"Bengaluru, India","Zone VIII",12.925997,77.557958,2,"Bajo"
"Mexico City, Mexico","Sector 30",19.393113,-99.061427,3,"Medio"
"Philadelphia, USA","Zone I",39.925268,-75.054709,2,"Bajo"
"Tokyo, Japan","District 19",35.620389,139.643584,3,"Medio"
"Hanoi, Vietnam","Sector 12",21.006476,105.942706,2,"Bajo"
"Dubai, UAE","Zone VII",25.122588,55.39583,2,"Bajo"
"Houston, USA","Ward B",29.730955,-95.322082,3,"Medio"
"Hamburg, Germany","Sector 20",53.501197,10.048665,1,"Alto"
"Rome, Italy","Zone IX",41.857669,12.587619,1,"Alto"
"Paris, France","Sector 27",48.866111,2.290553,1,"Alto"
"Delhi, India","Ward I",28.569599,77.120234,3,"Medio"
"Bengaluru, India","Zone VI",13.011788,77.531957,1,"Alto"
"Hamburg, Germany","District 1",53.625213,10.029828,3,"Medio"
"Rio de Janeiro, Brazil","Ward E",-22.827474,-43.151841,2,"Bajo"
"Auckland, New Zealand","Ward F",-36.929847,174.763748,3,"Medio"
"New Orleans, USA","Borough East",29.880213,-89.982476,3,"Medio"
"San Francisco, USA","Sector 28",37.655403,-122.424232,2,"Bajo"
"Colombo, Sri Lanka","Sector 26",6.965006,79.861194,3,"Medio"
"New York, USA","District 9",40.663617,-73.940983,2,"Bajo"
"Rome, Italy","Ward G",42.009736,12.572159,1,"Alto"
"Chennai, India","Ward D",13.120171,80.39711,2,"Bajo"
"Ahmedabad, India","Zone X",23.052291,72.461573,3,"Medio"
"Barcelona, Spain","District 23",41.211432,2.109194,1,"Alto"
"Osaka, Japan","Ward F",34.547845,135.516497,2,"Bajo"
"Houston, USA","Sector 18",29.653301,-95.425304,3,"Medio"
"London, UK","Borough Hillside",51.545199,-0.122036,3,"Medio"
"Vancouver, Canada","District 30",49.192106,-123.270287,3,"Medio"
"Washington DC, USA","Zone V",38.859685,-76.977323,2,"Bajo"
"Hamburg, Germany","Ward H",53.507634,9.948713,2,"Bajo"
"Washington DC, USA","Borough Riverside",38.876307,-77.06297,2,"Bajo"
"Doha, Qatar","District 12",25.371948,51.438038,3,"Medio"
"Vancouver, Canada","Sector 7",49.197153,-123.216684,2,"Bajo"
"Dhaka, Bangladesh","Ward K",23.723479,90.2893,2,"Bajo"
"Bengaluru, India","Borough Old Town",12.970835,77.602844,3,"Medio"
"Doha, Qatar","Zone II",25.324283,51.587106,2,"Bajo"
"Ahmedabad, India","Zone IX",23.100636,72.610165,3,"Medio"
"Kuala Lumpur, Malaysia","Ward D",3.215749,101.746824,2,"Bajo"
"Riyadh, Saudi Arabia","Zone VIII",24.656836,46.608665,1,"Alto"
"Rio de Janeiro, Brazil","Sector 15",-22.940329,-43.113132,3,"Medio"
"Barcelona, Spain","Sector 29",41.331471,2.202911,2,"Bajo"
"Accra, Ghana","Ward C",5.566433,-0.221917,3,"Medio"
"Tehran, Iran","Sector 12",35.65908,51.323983,1,"Alto"
"San Francisco, USA","Ward K",37.716087,-122.341944,3,"Medio"
"Paris, France","District 12",48.733852,2.306346,2,"Bajo"
"Shenzhen, China","Zone IX",22.598464,113.977979,3,"Medio"
"Rome, Italy","Ward E",42.032416,12.493229,1,"Alto"
"Tokyo, Japan","District 17",35.672686,139.679858,2,"Bajo"
"Montreal, Canada","Zone V",45.509106,-73.484677,2,"Bajo"
"Kolkata, India","Ward A",22.57244,88.30154,2,"Bajo"
"Nairobi, Kenya","Borough East",-1.319528,36.823379,2,"Bajo"
"Chennai, India","Ward C",13.113856,80.371556,3,"Medio"
"Bangkok, Thailand","Borough West",13.873456,100.35958,2,"Bajo"
"Houston, USA","District 22",29.918555,-95.299258,1,"Alto"
"Tehran, Iran","Sector 4",35.620812,51.37742,3,"Medio"
"Pune, India","Borough West",18.652679,73.99192,2,"Bajo"
"Manila, Philippines","Sector 19",14.533617,120.898454,3,"Medio"
"Dhaka, Bangladesh","Sector 15",23.660339,90.451229,3,"Medio"
"Karachi, Pakistan","Sector 23",24.914301,66.882778,2,"Bajo"
"Tehran, Iran","Borough Hillside",35.73631,51.363667,2,"Bajo"
"Montreal, Canada","Sector 12",45.487647,-73.753286,2,"Bajo"
"Amsterdam, Netherlands","District 26",52.379491,4.881455,2,"Bajo"
"Karachi, Pakistan","Zone VII",24.882304,67.010255,2,"Bajo"
"Durban, South Africa","District 29",-29.821433,31.066605,2,"Bajo"
"Singapore, Singapore","Borough Old Town",1.348403,103.908228,2,"Bajo"
"Taipei, Taiwan","Ward G",25.074434,121.446602,2,"Bajo"
"Riyadh, Saudi Arabia","Borough Delta",24.644576,46.611099,3,"Medio"
"Durban, South Africa","District 8",-29.815039,31.04753,3,"Medio"
"Hyderabad, India","Ward H",17.331043,78.565398,3,"Medio"
"Pune, India","Sector 4",18.59539,73.877415,2,"Bajo"
"Barcelona, Spain","Borough Hillside",41.487391,2.1067,1,"Alto"
"Tehran, Iran","Ward F",35.644842,51.444996,3,"Medio"
"Accra, Ghana","Zone X",5.406643,-0.293439,3,"Medio"
"Nairobi, Kenya","Zone II",-1.251216,36.960553,2,"Bajo"
"Shanghai, China","Zone V",31.122104,121.5664,2,"Bajo"
"Shanghai, China","Borough North",31.29294,121.36865,3,"Medio"
"Singapore, Singapore","Ward I",1.346743,103.689947,2,"Bajo"
"Kolkata, India","District 13",22.553199,88.374015,2,"Bajo"
"Bangkok, Thailand","Borough Old Town",13.727514,100.519369,2,"Bajo"
"Rotterdam, Netherlands","Sector 7",52.011402,4.516424,2,"Bajo"
"Bogotá, Colombia","Borough Central",4.713893,-73.922619,2,"Bajo"
"Rome, Italy","Zone I",41.75963,12.596604,3,"Medio"
"Mexico City, Mexico","District 10",19.407587,-99.154693,3,"Medio"
"Manila, Philippines","District 19",14.59167,121.025053,1,"Alto"
"Hanoi, Vietnam","Sector 27",21.090787,105.771564,3,"Medio"
"Ahmedabad, India","Ward H",23.057006,72.535381,2,"Bajo"
"Lagos, Nigeria","District 26",6.642788,3.411478,3,"Medio"
"San Francisco, USA","District 24",37.871157,-122.41986,3,"Medio"
"Brisbane, Australia","District 12",-27.401379,153.077346,3,"Medio"
"Montreal, Canada","District 8",45.432819,-73.499733,3,"Medio"
"Washington DC, USA","District 4",38.88906,-77.116066,3,"Medio"
"Mexico City, Mexico","District 3",19.323463,-99.125343,3,"Medio"
"Hong Kong, China","Sector 13",22.422942,114.221116,2,"Bajo"
"Hamburg, Germany","Ward B",53.48909,10.084538,2,"Bajo"
"Delhi, India","Sector 1",28.628947,77.212775,1,"Alto"
"Colombo, Sri Lanka","Ward H",7.008992,79.798521,2,"Bajo"
"Rotterdam, Netherlands","Zone X",51.858138,4.399197,3,"Medio"
"Cape Town, South Africa","District 5",-33.940071,18.372848,1,"Alto"
"Hamburg, Germany","District 30",53.537167,10.10649,1,"Alto"
"Rome, Italy","District 7",41.890968,12.557779,2,"Bajo"
"Montreal, Canada","Borough South",45.483509,-73.597431,2,"Bajo"
"Delhi, India","Sector 17",28.538543,77.194478,3,"Medio"
"Durban, South Africa","Ward C",-29.771723,30.974719,2,"Bajo"
"Kuala Lumpur, Malaysia","Ward I",3.129055,101.770517,2,"Bajo"
"Brisbane, Australia","Zone VII",-27.507908,153.011252,3,"Medio"
"Manila, Philippines","Zone I",14.506927,121.040289,1,"Alto"
"Hamburg, Germany","Sector 2",53.458456,10.003259,2,"Bajo"
"Shenzhen, China","Sector 9",22.606117,114.095235,2,"Bajo"
"Vancouver, Canada","Zone IX",49.279911,-123.109501,2,"Bajo"
"New Orleans, USA","Zone VI",29.922575,-90.133756,1,"Alto"
"Bogotá, Colombia","Borough West",4.781346,-74.199324,2,"Bajo"
"Hanoi, Vietnam","Zone VIII",21.034645,105.803475,2,"Bajo"
"Delhi, India","District 5",28.711049,77.208686,1,"Alto"
"New York, USA","District 13",40.757452,-74.069899,1,"Alto"
"Chennai, India","Borough Hillside",13.107102,80.337919,2,"Bajo"
"Brisbane, Australia","Ward D",-27.485765,152.902917,2,"Bajo"
"Singapore, Singapore","Sector 2",1.38379,103.770525,2,"Bajo"
"Auckland, New Zealand","District 6",-36.905828,174.778975,2,"Bajo"
"Cape Town, South Africa","Zone V",-33.968261,18.466638,2,"Bajo"
"Durban, South Africa","Borough East",-29.679394,31.058998,1,"Alto"
"Hamburg, Germany","District 23",53.462697,10.070491,2,"Bajo"
"Mumbai, India","Zone VII",18.993732,72.833841,3,"Medio"
"Shanghai, China","Zone III",31.18297,121.49218,3,"Medio"
"New York, USA","Borough Hillside",40.889908,-74.02131,2,"Bajo"
"Durban, South Africa","Zone III",-29.9059,30.969008,1,"Alto"
"Lima, Peru","Borough West",-12.031356,-76.950794,3,"Medio"
"Tehran, Iran","Sector 14",35.782901,51.308018,2,"Bajo"
"New Orleans, USA","Sector 24",29.942636,-90.243223,2,"Bajo"
"Accra, Ghana","Borough North",5.591793,-0.140785,3,"Medio"
"Singapore, Singapore","Sector 24",1.374447,103.961276,2,"Bajo"
"Pune, India","Borough South",18.635076,73.799206,1,"Alto"
"Houston, USA","Sector 7",29.807889,-95.46667,3,"Medio"
"Bengaluru, India","Ward H",13.060229,77.608438,2,"Bajo"
"Mexico City, Mexico","District 2",19.509675,-99.140834,2,"Bajo"
"Istanbul, Türkiye","District 21",40.987747,28.969673,1,"Alto"
"Mexico City, Mexico","Ward I",19.575712,-99.09631,2,"Bajo"
"Singapore, Singapore","Ward E",1.376511,103.86334,1,"Alto"
"Manila, Philippines","Sector 29",14.7408,121.037862,2,"Bajo"
"Taipei, Taiwan","Sector 27",25.022527,121.475552,2,"Bajo"
"Hamburg, Germany","Ward A",53.3908,10.035679,2,"Bajo"
"Tehran, Iran","District 8",35.640678,51.315357,3,"Medio"
"Riyadh, Saudi Arabia","Zone II",24.641361,46.690154,3,"Medio"
"New Orleans, USA","Sector 29",29.8677,-90.058014,3,"Medio"
"Hamburg, Germany","District 10",53.469971,10.069403,1,"Alto"
"Ho Chi Minh City, Vietnam","Sector 23",10.890532,106.51306,2,"Bajo"
"Istanbul, Türkiye","District 23",40.905096,28.956286,2,"Bajo"
"Cape Town, South Africa","Ward G",-33.870557,18.472307,1,"Alto"
"Chennai, India","District 26",13.188348,80.350287,1,"Alto"
"Lima, Peru","Borough East",-11.98696,-76.957503,1,"Alto"
"Philadelphia, USA","Zone VI",39.952134,-75.178309,2,"Bajo"
"London, UK","Ward D",51.498276,-0.175483,3,"Medio"
"Kolkata, India","Sector 10",22.595972,88.401311,1,"Alto"
"Washington DC, USA","Zone I",38.914633,-77.001546,2,"Bajo"
"Lima, Peru","Sector 24",-11.993655,-77.024442,1,"Alto"
"Osaka, Japan","Ward G",34.611108,135.601162,2,"Bajo"
"Hanoi, Vietnam","Borough South",21.041748,105.761559,3,"Medio"
"Shanghai, China","Ward B",31.389409,121.47089,2,"Bajo"
"Houston, USA","District 17",29.763446,-95.204308,3,"Medio"
"Karachi, Pakistan","Zone IV",24.932233,67.022422,3,"Medio"
"Lima, Peru","Zone VIII",-12.067346,-77.134339,2,"Bajo"
"Philadelphia, USA","District 4",39.937856,-75.228937,2,"Bajo"
"Kuala Lumpur, Malaysia","Zone VIII",3.24852,101.77501,2,"Bajo"
"Copenhagen, Denmark","Sector 21",55.631318,12.581618,3,"Medio"
"Taipei, Taiwan","Ward E",25.08819,121.553027,3,"Medio"
"Manila, Philippines","Sector 3",14.684029,120.982508,1,"Alto"
"Shenzhen, China","Zone II",22.405906,114.101329,2,"Bajo"
"Brisbane, Australia","District 11",-27.346465,153.009891,1,"Alto"
"Ho Chi Minh City, Vietnam","Borough South",10.787952,106.580353,1,"Alto"
"Mumbai, India","Borough East",18.936852,72.829707,2,"Bajo"
"Copenhagen, Denmark","Sector 1",55.674157,12.552691,2,"Bajo"
"Osaka, Japan","Sector 27",34.668148,135.467984,2,"Bajo"
"Singapore, Singapore","Ward A",1.440947,103.795449,2,"Bajo"
"Rotterdam, Netherlands","Borough Harbor",51.836494,4.494686,2,"Bajo"
"Karachi, Pakistan","Ward I",24.892184,67.076192,3,"Medio"
"Nairobi, Kenya","Borough Delta",-1.390578,36.906604,1,"Alto"
"Miami, USA","Sector 26",25.514165,-80.337782,2,"Bajo"
"Seoul, South Korea","Sector 30",37.554769,127.019884,1,"Alto"
"Paris, France","Ward B",48.794752,2.461056,2,"Bajo"
"Paris, France","Zone VIII",48.804512,2.353269,3,"Medio"
"New York, USA","Borough Old Town",40.686698,-74.090619,2,"Bajo"
"Ahmedabad, India","Ward G",22.898055,72.540289,1,"Alto"
"Sydney, Australia","Borough West",-33.933994,151.293151,1,"Alto"
"Mexico City, Mexico","Borough Harbor",19.352517,-99.186477,2,"Bajo"
"Paris, France","Ward C",48.740994,2.279908,2,"Bajo"
"Mumbai, India","Zone VIII",19.087989,72.896894,2,"Bajo"
"Tehran, Iran","District 19",35.781993,51.284404,2,"Bajo"
"San Francisco, USA","District 8",37.725868,-122.370136,3,"Medio"
"Manila, Philippines","Sector 14",14.523032,121.037338,3,"Medio"
"Hamburg, Germany","Ward F",53.574231,9.907241,2,"Bajo"
"Lima, Peru","Zone VIII",-12.097714,-77.149043,1,"Alto"
"Rotterdam, Netherlands","District 6",51.953381,4.489087,1,"Alto"
"New Orleans, USA","Borough West",30.059895,-90.00645,2,"Bajo"
"Pune, India","Sector 19",18.515805,73.893303,2,"Bajo"
"Montreal, Canada","Borough Delta",45.378225,-73.588294,2,"Bajo"
"Houston, USA","District 1",29.69263,-95.42272,1,"Alto"
"Lagos, Nigeria","District 9",6.530401,3.366467,1,"Alto"
"Hong Kong, China","Borough Harbor",22.322034,114.254569,1,"Alto"
"Hyderabad, India","Zone V",17.409677,78.390015,3,"Medio"
"Shenzhen, China","Ward K",22.575624,114.043803,2,"Bajo"
"Lagos, Nigeria","Sector 30",6.457234,3.406915,3,"Medio"
"Chennai, India","Borough Old Town",13.157692,80.30691,2,"Bajo"
"Delhi, India","Borough South",28.680172,77.118965,2,"Bajo"
"Dubai, UAE","Ward H",25.107066,55.291682,2,"Bajo"
"Barcelona, Spain","Zone VII",41.546001,2.149377,1,"Alto"
"Shanghai, China","Sector 16",31.350399,121.515148,2,"Bajo"
"Istanbul, Türkiye","Zone V",40.961125,28.841423,2,"Bajo"
"Jakarta, Indonesia","District 9",-6.237599,106.888409,2,"Bajo"
"Sydney, Australia","Zone VI",-33.904719,151.081554,1,"Alto"
"Ahmedabad, India","Sector 20",23.169613,72.618909,1,"Alto"
"Bengaluru, India","District 21",12.904517,77.530421,1,"Alto"
"Riyadh, Saudi Arabia","Borough Delta",24.776093,46.710111,3,"Medio"
"London, UK","Zone IX",51.549938,-0.107785,3,"Medio"
"Houston, USA","Borough Hillside",29.762999,-95.489522,1,"Alto"
"Bangkok, Thailand","Sector 3",13.779823,100.463987,2,"Bajo"
"Amsterdam, Netherlands","Borough Harbor",52.392608,4.965928,3,"Medio"
"Amsterdam, Netherlands","Borough Hillside",52.378298,4.913748,3,"Medio"
"Tehran, Iran","Ward E",35.657215,51.380266,2,"Bajo"
"Copenhagen, Denmark","Sector 24",55.672756,12.498374,2,"Bajo"
"Istanbul, Türkiye","Borough Harbor",40.859385,28.977664,1,"Alto"
"Tokyo, Japan","Zone VII",35.698295,139.666558,2,"Bajo"
"Washington DC, USA","Zone II",38.98458,-77.126841,3,"Medio"
"Singapore, Singapore","Sector 13",1.414695,103.809052,1,"Alto"
"Delhi, India","Zone VI",28.537309,77.301926,2,"Bajo"
"Bengaluru, India","Zone X",12.975412,77.553468,2,"Bajo"
"Paris, France","Sector 1",48.850221,2.351908,2,"Bajo"
"Hanoi, Vietnam","Zone V",20.839309,105.779958,2,"Bajo"
"Bangkok, Thailand","Ward A",13.727791,100.496571,1,"Alto"
"Accra, Ghana","District 28",5.588281,-0.260113,2,"Bajo"
"Montreal, Canada","Borough North",45.503508,-73.499706,2,"Bajo"
"Ho Chi Minh City, Vietnam","District 2",10.756764,106.646767,1,"Alto"
"Houston, USA","Ward I",29.84323,-95.346401,3,"Medio"
"Athens, Greece","Borough West",37.862792,23.720579,2,"Bajo"
"Paris, France","Sector 26",48.850151,2.34864,3,"Medio"
"Durban, South Africa","Zone IV",-29.942261,31.043286,2,"Bajo"
"Hyderabad, India","Borough North",17.343763,78.524928,2,"Bajo"
"Auckland, New Zealand","Ward H",-36.825738,174.819888,1,"Alto"
"Vancouver, Canada","District 8",49.289313,-123.087291,1,"Alto"
"New Orleans, USA","District 24",29.937586,-90.05801,2,"Bajo"
"San Francisco, USA","Sector 5",37.608937,-122.279155,3,"Medio"
"Doha, Qatar","Zone I",25.287486,51.621283,2,"Bajo"
"Mexico City, Mexico","Sector 7",19.464859,-99.138764,2,"Bajo"
"Washington DC, USA","Ward G",39.003335,-77.123286,3,"Medio"
"Delhi, India","District 20",28.743897,77.319533,1,"Alto"
"Washington DC, USA","Zone VIII",38.801725,-76.982915,2,"Bajo"
"Durban, South Africa","District 13",-29.881087,30.999472,1,"Alto"
"Hamburg, Germany","Sector 13",53.659498,10.095186,3,"Medio"
"Rotterdam, Netherlands","Sector 26",51.853352,4.513923,3,"Medio"
"Ho Chi Minh City, Vietnam","Zone VII",10.94311,106.65812,1,"Alto"
"Rome, Italy","Sector 24",41.951726,12.550095,2,"Bajo"
"Nairobi, Kenya","Ward F",-1.341502,36.785666,3,"Medio"
"Auckland, New Zealand","Zone II",-36.912945,174.727732,1,"Alto"
"Sydney, Australia","Sector 20",-33.892023,151.256871,2,"Bajo"
"Bogotá, Colombia","District 20",4.683532,-74.094583,1,"Alto"
"Hyderabad, India","Ward K",17.400306,78.42412,2,"Bajo"
"Mexico City, Mexico","District 28",19.506972,-99.083452,1,"Alto"
"New Orleans, USA","Zone I",30.02893,-90.125852,2,"Bajo"
"Philadelphia, USA","Sector 24",39.897007,-75.138577,2,"Bajo"
"Amsterdam, Netherlands","Borough Old Town",52.429427,4.84654,2,"Bajo"
"Tehran, Iran","Ward E",35.567025,51.338974,2,"Bajo"
"Washington DC, USA","Sector 21",38.835243,-77.032635,2,"Bajo"
"Copenhagen, Denmark","Ward G",55.68215,12.620313,2,"Bajo"
"Accra, Ghana","Ward A",5.593215,-0.123185,3,"Medio"
"Auckland, New Zealand","Zone III",-36.770466,174.80051,3,"Medio"
"Bengaluru, India","Zone II",12.971863,77.499457,2,"Bajo"
"Istanbul, Türkiye","Ward H",40.938883,29.037041,1,"Alto"
"Delhi, India","Ward H",28.654352,77.174898,1,"Alto"
"Tehran, Iran","District 13",35.621167,51.457125,2,"Bajo"
"Rome, Italy","Zone IV",41.870449,12.537356,2,"Bajo"
"Ahmedabad, India","Zone I",22.918461,72.46655,3,"Medio"
"Dhaka, Bangladesh","Ward F",23.820243,90.445466,3,"Medio"
"Copenhagen, Denmark","Ward D",55.720015,12.625263,2,"Bajo"
"San Francisco, USA","Borough Harbor",37.653485,-122.428024,1,"Alto"
"Karachi, Pakistan","Borough West",24.994404,66.990375,3,"Medio"
"Hyderabad, India","District 28",17.330777,78.413597,1,"Alto"
"Durban, South Africa","Ward K",-29.861286,31.003011,1,"Alto"
"Rio de Janeiro, Brazil","District 26",-22.852815,-43.10377,1,"Alto"
"Houston, USA","Ward C",29.787057,-95.480957,2,"Bajo"
"Athens, Greece","District 14",38.060732,23.814645,2,"Bajo"
"Bengaluru, India","Ward C",13.032985,77.525474,2,"Bajo"
"Philadelphia, USA","Zone VIII",39.877507,-75.219547,3,"Medio"
"Washington DC, USA","Borough North",38.900106,-77.130974,2,"Bajo"
"Dubai, UAE","Ward E",25.244372,55.238492,2,"Bajo"
"Kolkata, India","Sector 2",22.502441,88.388195,3,"Medio"
"Paris, France","Sector 26",48.813754,2.319234,1,"Alto"
"Auckland, New Zealand","Borough Hillside",-36.877243,174.654183,2,"Bajo"
"Athens, Greece","District 18",37.836354,23.737228,2,"Bajo"
"Cape Town, South Africa","Zone I",-33.911126,18.471533,2,"Bajo"
"Philadelphia, USA","Sector 4",40.176348,-75.167439,3,"Medio"
"Brisbane, Australia","Sector 22",-27.505958,152.986253,2,"Bajo"
"Shanghai, China","District 23",31.228349,121.503088,2,"Bajo"
"Miami, USA","Borough Harbor",25.696455,-80.180022,2,"Bajo"
"Shenzhen, China","Sector 8",22.603453,113.944284,2,"Bajo"
"Osaka, Japan","Zone II",34.618238,135.543634,3,"Medio"
"Seoul, South Korea","Zone I",37.530551,126.942667,2,"Bajo"
"Mumbai, India","Sector 30",19.046697,72.904096,2,"Bajo"
"Rotterdam, Netherlands","Borough West",51.822678,4.548301,2,"Bajo"
"Philadelphia, USA","Borough West",40.033321,-75.206655,3,"Medio"
"Amsterdam, Netherlands","District 30",52.411967,4.910303,2,"Bajo"
"Buenos Aires, Argentina","Zone VII",-34.626511,-58.36969,3,"Medio"
"Ho Chi Minh City, Vietnam","Zone VI",10.783828,106.608651,2,"Bajo"
"Dubai, UAE","Borough West",25.233784,55.162711,2,"Bajo"
"Bangkok, Thailand","Zone IV",13.81983,100.409085,3,"Medio"
"Athens, Greece","Borough Riverside",37.930266,23.77683,2,"Bajo"
"Doha, Qatar","Zone II",25.212535,51.449438,1,"Alto"
"Durban, South Africa","District 30",-29.689839,30.931009,2,"Bajo"
"New York, USA","District 9",40.721325,-73.918089,2,"Bajo"
"London, UK","District 26",51.509335,-0.176816,3,"Medio"
"Colombo, Sri Lanka","District 14",6.892359,79.835083,2,"Bajo"
"Houston, USA","District 10",29.801225,-95.365109,2,"Bajo"
"Tehran, Iran","Sector 8",35.663378,51.380115,2,"Bajo"
"Delhi, India","Borough Central",28.597697,77.14876,2,"Bajo"
"San Francisco, USA","Ward I",37.804709,-122.428751,1,"Alto"
"Bangkok, Thailand","Borough West",13.837318,100.451984,2,"Bajo"
"Chennai, India","Ward B",13.005119,80.306822,2,"Bajo"
"Nairobi, Kenya","District 18",-1.307403,36.889173,2,"Bajo"
"Kolkata, India","Ward B",22.536239,88.364486,2,"Bajo"
"Taipei, Taiwan","Zone VIII",24.98884,121.533569,2,"Bajo"
"Sydney, Australia","Zone IX",-33.804466,151.281246,3,"Medio"
"Taipei, Taiwan","Sector 4",25.070587,121.528752,2,"Bajo"
"Athens, Greece","Ward B",38.069249,23.652526,1,"Alto"
"Sao Paulo, Brazil","Zone VIII",-23.529509,-46.441518,2,"Bajo"
"Lagos, Nigeria","District 12",6.546067,3.256323,3,"Medio"
"Bogotá, Colombia","Sector 21",4.621354,-74.037316,2,"Bajo"
"Lima, Peru","Borough Central",-12.017418,-77.042791,3,"Medio"
"Buenos Aires, Argentina","Sector 13",-34.675599,-58.35568,1,"Alto"
"Ho Chi Minh City, Vietnam","District 6",10.886239,106.718425,2,"Bajo"
"Buenos Aires, Argentina","Ward G",-34.612,-58.279973,3,"Medio"
"Bangkok, Thailand","District 23",13.768683,100.565325,1,"Alto"
"Nairobi, Kenya","Ward D",-1.287728,36.812716,1,"Alto"
"Doha, Qatar","Borough Hillside",25.260664,51.547282,2,"Bajo"
"Mumbai, India","Ward H",19.129694,72.896332,2,"Bajo"
"Cape Town, South Africa","Zone IX",-33.909843,18.499087,2,"Bajo"
"Mexico City, Mexico","Borough Riverside",19.370592,-99.03889,2,"Bajo"
"Manila, Philippines","Ward E",14.577994,120.882965,2,"Bajo"
"Manila, Philippines","Ward F",14.658186,121.074522,2,"Bajo"
"Shenzhen, China","District 28",22.58301,114.102571,1,"Alto"
"Jakarta, Indonesia","Sector 28",-6.058511,106.862669,1,"Alto"
"Amsterdam, Netherlands","Zone III",52.511767,4.849415,3,"Medio"
"Seoul, South Korea","Zone II",37.49049,127.08021,2,"Bajo"
"Barcelona, Spain","Sector 17",41.316869,2.180096,2,"Bajo"
"Delhi, India","Borough West",28.491566,77.227151,2,"Bajo"
"Kolkata, India","District 7",22.597351,88.378658,2,"Bajo"
"Barcelona, Spain","Sector 8",41.372703,2.070023,2,"Bajo"
"Hyderabad, India","District 27",17.459499,78.389815,2,"Bajo"
"Miami, USA","Sector 1",25.772128,-80.233645,1,"Alto"
"Rome, Italy","District 30",41.82382,12.530924,1,"Alto"
"Bengaluru, India","Borough Central",13.014629,77.701645,1,"Alto"
"Bogotá, Colombia","Ward E",4.715968,-74.127762,2,"Bajo"
"Sao Paulo, Brazil","Ward G",-23.522854,-46.620677,1,"Alto"
"Shanghai, China","Borough Riverside",31.251165,121.46156,1,"Alto"
"Brisbane, Australia","Sector 8",-27.496909,153.071637,2,"Bajo"
"Auckland, New Zealand","Zone V",-36.942037,174.705568,2,"Bajo"
"Bangkok, Thailand","District 1",13.709283,100.558179,3,"Medio"
"Philadelphia, USA","Borough Hillside",39.859241,-75.12075,1,"Alto"
"Karachi, Pakistan","Sector 25",24.91484,66.91399,1,"Alto"
"San Francisco, USA","Sector 12",37.740146,-122.247176,2,"Bajo"
"Barcelona, Spain","Sector 6",41.5251,2.137944,2,"Bajo"
"Osaka, Japan","District 7",34.614552,135.349776,2,"Bajo"
"Houston, USA","Borough Harbor",29.788429,-95.322909,3,"Medio"
"Shenzhen, China","Borough Riverside",22.558538,114.082194,2,"Bajo"
"Shenzhen, China","Ward C",22.540889,114.102755,3,"Medio"
"Washington DC, USA","Ward B",38.853497,-76.88931,2,"Bajo"
"Shanghai, China","Borough Riverside",31.301322,121.458469,2,"Bajo"
"Doha, Qatar","Ward H",25.439814,51.541682,2,"Bajo"
"Istanbul, Türkiye","Zone V",41.073396,29.025451,2,"Bajo"
"Ho Chi Minh City, Vietnam","Zone VI",10.832647,106.594353,2,"Bajo"
"Paris, France","Borough South",48.946672,2.427395,2,"Bajo"
"Dhaka, Bangladesh","Ward B",23.693511,90.438357,1,"Alto"
